Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,42965.52578175147,381498883738744.4,762997767192100.0,381498883695778.9,383.0,"[1525995534526894.5, 132675.7383, 124357.1714, 171050.0513]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,34047.069700266686,3814123559.409523,7628096477.036643,3814089512.339823,234.5,"[15256268274.9375, 79153.9566, 93436.155, 53372.589]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11576.946032072809,32528.221370998453,6896.778152714541,20951.275338925647,555.75,"[26640.4015, 31141.4064, 42476.1177, 29854.96]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11367.192016012401,32178.696233598544,6866.98436058386,20811.504217586145,289.5,"[24408.272, 31673.6822, 41142.9282, 31489.9025]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13017.892290254724,33647.760253665925,4166.464749427127,20629.8679634112,118.5,"[32021.7853, 32238.96, 39793.584, 30536.7117]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11471.825078261747,38382.7483748213,11386.90059206791,26910.92329655955,354.25,"[28814.8844, 38669.0531, 54299.2731, 31747.783]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10133.060075559026,36417.60819563518,12333.59031547428,26284.54812007615,189.75,"[25439.2832, 36053.0187, 53737.3475, 30440.7833]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11059.105877654689,34224.78012082252,11162.812687604044,23165.674243167832,74.0,"[24291.2922, 34890.4846, 49623.4735, 28093.8702]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,6272.5552469233935,20581681.101305023,41081288.39269591,20575408.5460581,376.75,"[82203612.964, 47269.6337, 43447.8951, 32393.9124]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,6577.276867292568,27775388.466828715,55471756.15055306,27768811.189961422,244.0,"[110983022.2092, 46263.4957, 40541.9946, 31726.1677]"
