Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",49141.467950191494,1043777.8547323769,1976828.9289845177,994636.3867821854,42.0,"[4008970.1575, 43080.8572, 70939.451, 52120.9532]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",39844.75427325066,1070010.0977974646,2052847.3225118716,1030165.3435242139,45.0,"[4149267.1903, 46621.079, 49157.5417, 34994.5802]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",49369.91269608176,1105364.4670303846,2099747.3971404294,1055994.554334303,42.0,"[4254940.5645, 43770.88, 70629.9819, 52116.4417]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",52764.61752456477,1441998.6651223863,2748320.9718518322,1389234.0475978216,81.5,"[5564479.578, 68867.9176, 68806.9243, 65840.2406]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",40498.3551938163,1545447.9457135177,3002507.673731867,1504949.5905197014,49.0,"[6049198.9692, 48404.6079, 49144.0187, 35044.1872]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",42190.08405672581,1943799.4555520206,3724055.3172157714,1901609.3714952949,154.5,"[7529751.8529, 114520.9323, 78512.761, 52412.2761]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",46090.459380995744,2047141.2311211498,3933229.217295184,2001050.7717401541,143.0,"[7946946.858, 73919.5979, 100208.465, 67490.0037]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",51987.849638700056,2052497.7244094375,3950840.0528935352,2000509.8747707375,111.25,"[7978724.9854, 95317.2126, 71153.7974, 64794.9023]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",47946.19838040926,2752706.1256187935,5402414.41451138,2704759.9272383843,63.5,"[10856315.2393, 49474.0009, 64009.3342, 41025.9279]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",58445.751393070634,2838804.59955465,5502355.084338333,2780358.8481615796,133.5,"[11092310.8958, 100644.2147, 93892.6229, 68370.6648]"
