Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",57876.339526567004,89946.72671739745,51148.16386042477,32070.38719083045,46.5,"[50211.1992, 89717.1056, 57628.0937, 162230.5083]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",74507.44099520949,134058.32925054463,76932.09562318044,59550.88825533514,49.0,"[83640.5904, 202921.5474, 53067.0973, 196604.0818]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",74200.86914281847,177930.7678724795,143879.482499055,103729.89872966104,51.75,"[84856.4411, 202925.8331, 53069.5806, 370871.2167]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",77315.89308670124,120044.71159995213,72848.53955207908,42728.818513250895,48.25,"[59253.8607, 203563.4032, 58723.0473, 158638.5352]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",80725.37080370236,127313.00921142835,81357.01265633086,46587.638407725986,35.5,"[56686.9538, 203565.2301, 57274.1027, 191725.7503]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",78252.02639546357,144351.53266886034,116725.49795489632,66099.50627339676,56.0,"[54425.7214, 203166.6782, 39813.7433, 279999.9877]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",80476.37035139238,125691.39642559848,92144.60092834235,45215.02607420609,51.0,"[51918.29, 203170.8332, 40114.0423, 207562.4202]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",87482.98735136662,97689.22869981261,72261.04506573516,10206.241348445983,36.75,"[49261.8354, 203654.4042, 54158.1078, 83682.5674]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",85190.38830368954,142286.9451150142,106655.35831506674,57096.55681132467,43.0,"[49582.5192, 203655.9051, 54816.7102, 261092.6459]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",64149.37241607165,89077.0081407271,16208.296894075744,24927.635724655454,104.25,"[78609.2476, 112024.1283, 88924.8205, 76749.8362]"
